

DATE:	06/11/2017	TIME:	11:10:28
Initialising game took 10.26 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	85.420
Average Paint time=	11.704 ms
Average Init time=	23.991 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 10:30:35
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	416.184
Average Paint time=	2.386 ms
Average Init time=	18.189 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 10:31:35
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	540.394
Average Paint time=	1.839 ms
Average Init time=	15.966 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 10:31:48
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	553.830
Average Paint time=	1.796 ms
Average Init time=	34.839 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 10:32:11
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	547.448
Average Paint time=	1.817 ms
Average Init time=	14.939 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 10:51:14
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	518.894
Average Paint time=	1.927 ms
Average Init time=	21.326 us

*************************************************************************************************************************
NEW TIME

Student: Joe Garlick	DATE: 04/12/2017	TIME: 10:51:39
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	542.435
Average Paint time=	1.837 ms
Average Init time=	16.422 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 10:53:36
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	482.397
Average Paint time=	2.061 ms
Average Init time=	16.935 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 10:53:46
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	500.151
Average Paint time=	1.989 ms
Average Init time=	17.733 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 10:53:51
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	266.645
Average Paint time=	3.735 ms
Average Init time=	20.926 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 10:53:59
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	266.211
Average Paint time=	3.662 ms
Average Init time=	19.672 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 10:54:31
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	485.439
Average Paint time=	2.049 ms
Average Init time=	17.277 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 10:54:38
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	446.350
Average Paint time=	2.232 ms
Average Init time=	19.330 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 10:54:46
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	386.937
Average Paint time=	2.572 ms
Average Init time=	20.755 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 10:58:05
SUMMARY for 5 games played, with 139 moves entered.

Average frames/sec=	578.108
Average Paint time=	1.717 ms
Average Init time=	16.479 us

*************************************************************************************************************************

Student: Joe Garlick	DATE: 04/12/2017	TIME: 11:13:11
SUMMARY for 5 games played, with 139 moves entered.

